,BBIO
% Above Low,0.7229000000000001
% Held by Institutions,0.9492
52-Wk Range,['4.98 - 43.14']
Annual Dividend $,
Annual Dividend %,
Ask,8.7
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.5
Bid,8.31
Bid Size,1000.0
Closing Price,8.58
Day Change $,-0.21
Day Change %,-0.0239
Day High,8.85
Day Low,8.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.35
Ex-dividend Date,No dividend
Historical Volatility,1.629
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.79
Shares Outstanding,149.5M
Short Interest,0.1948
Today's Open,8.69
Volume,316157.0
Volume 10-day Avg,1276244.0
Volume Past Day,(Light)
