,BBIO
Price/Earnings (TTM),
Price/Sales (TTM),14.46546
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,4.98
5yr High,73.5
5yr Avg Return,-0.024524999999999988
Short Int Current Month,20855618.0
Short Int Prev Month,22309782.0
Short Int Pct of Float,0.194827
Days to Cover,14.76548
Float,107.0469
Shares Outstanding,149.4831
Institutions Holding Shares,240.0
% Held by Institutions,0.94923
FCF Growth 5yr,0.07359317818113213
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
