,CANO
% Above Low,0.15539999999999998
% Held by Institutions,0.6603
52-Wk Range,['1.48 - 10.12']
Annual Dividend $,
Annual Dividend %,
Ask,1.75
Ask Size,8100.0
B/A Ratio,0.13580246913580246
B/A Size,1100x8100
Beta,
Bid,1.72
Bid Size,1100.0
Closing Price,1.71
Day Change $,0.19
Day Change %,0.125
Day High,1.72
Day Low,1.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.33
Ex-dividend Date,No dividend
Historical Volatility,1.185
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,415.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.52
Shares Outstanding,244.6M
Short Interest,0.17120000000000002
Today's Open,1.53
Volume,9275772.0
Volume 10-day Avg,16939716.0
Volume Past Day,(Light)
