,CANO
Price/Earnings (TTM),
Price/Sales (TTM),0.34261
Price/Book (MRQ),2.0686
Price/Cash Flow (TTM),
5yr Low,1.48
5yr High,17.43
5yr Avg Return,-0.2844666666666667
Short Int Current Month,29182858.0
Short Int Prev Month,28739576.0
Short Int Pct of Float,0.1711894
Days to Cover,1.78254
Float,170.4712
Shares Outstanding,494.4838
Institutions Holding Shares,202.0
% Held by Institutions,0.660344
FCF Growth 5yr,0.2495408797465816
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
