,VLO
% Below High,0.0815
% Held by Institutions,0.7916
52-Wk Range,['65.13 - 146.81']
Annual Dividend $,3.92
Annual Dividend %,0.028300000000000002
Ask,137.5
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.6
Bid,132.0
Bid Size,500.0
Closing Price,134.84
Day Change $,-3.56
Day Change %,-0.025699999999999997
Day High,138.17
Day Low,134.6
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",23.45
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.446
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,52.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.9
Prev Close,138.4
Shares Outstanding,385.5M
Short Interest,0.023399999999999997
Today's Open,135.31
Volume,3393929.0
Volume 10-day Avg,3551344.0
Volume Past Day,(Average)
