,VLO
Price/Earnings (TTM),5.90088
Price/Sales (TTM),0.31287
Price/Book (MRQ),2.43503
Price/Cash Flow (TTM),4.37527
5yr Low,31.0
5yr High,146.81
5yr Avg Return,0.14671666666666666
EPS Growth 5yr,-0.1432462
Revenue Growth 5yr,0.0854038
Dividend Growth 5yr,0.1031002
Short Int Current Month,8992910.0
Short Int Prev Month,9626865.0
Short Int Pct of Float,0.023447700000000002
Days to Cover,2.31133
Float,383.5276
Shares Outstanding,385.5233
Institutions Holding Shares,1590.0
% Held by Institutions,0.791606
FCF Growth 5yr,8.645792979737415
