,MYE
% Below High,0.11960000000000001
% Held by Institutions,0.9083
52-Wk Range,['15.82 - 25.55']
Annual Dividend $,0.54
Annual Dividend %,0.024
Ask,25.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,21.81
Bid Size,100.0
Closing Price,22.49
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",1.48
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.342
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,819.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.21
Prev Close,22.49
Shares Outstanding,36.5M
Short Interest,0.0152
Today's Open,
Volume,39881.0
Volume 10-day Avg,140878.0
Volume Past Day,(Light)
