,MYE
Price/Earnings (TTM),15.21167
Price/Sales (TTM),0.92614
Price/Book (MRQ),3.34925
Price/Cash Flow (TTM),10.89915
5yr Low,6.91
5yr High,25.7
5yr Avg Return,0.01718333333333334
EPS Growth 5yr,0.19540839999999998
Revenue Growth 5yr,0.0733879
Dividend Growth 5yr,0.0
Short Int Current Month,547766.0
Short Int Prev Month,653160.0
Short Int Pct of Float,0.015189399999999999
Days to Cover,4.53674
Float,36.0473
Shares Outstanding,36.49738
Institutions Holding Shares,201.0
% Held by Institutions,0.908283
FCF Growth 5yr,2.9885864436452194
