,CPRI
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.18595825426944979
Growth 1yr High Est,0.15537190082644625
Growth 1yr Consensus Est,0.17066507754794802
Growth 2yr Low Est,0.09857912713472494
Growth 2yr High Est,0.12131971293110577
Growth 2yr Consensus Est,0.10994942003291536
Growth 5yr Low Est,0.19974549061903418
Growth 5yr High Est,0.14978541700366949
Growth 5yr Consensus Est,0.17476545381135183
Growth 5yr Actual/Est,0.47881426309399455
Growth 3yr Historic,0.4392132323095657
