,CPRI
Price/Earnings (TTM),9.86681
Price/Sales (TTM),1.16885
Price/Book (MRQ),3.2604
Price/Cash Flow (TTM),7.07698
5yr Low,5.42
5yr High,75.96
5yr Avg Return,0.008666666666666666
EPS Growth 5yr,0.09223
Revenue Growth 5yr,0.047008799999999996
Dividend Growth 5yr,
Short Int Current Month,5955091.0
Short Int Prev Month,6474409.0
Short Int Pct of Float,0.0475314
Days to Cover,2.4154
Float,125.4591
Shares Outstanding,128.7932
Institutions Holding Shares,486.0
% Held by Institutions,0.938369
FCF Growth 5yr,-0.7922202939939172
