,CPRI
% Above Low,0.44439999999999996
% Held by Institutions,0.9384
52-Wk Range,['36.90 - 72.37']
Annual Dividend $,
Annual Dividend %,
Ask,63.0
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,2.2
Bid,53.2
Bid Size,1000.0
Closing Price,53.3
Day Change $,-0.13
Day Change %,-0.0024
Day High,53.83
Day Low,53.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.4
Ex-dividend Date,No dividend
Historical Volatility,0.578
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
"P/E Ratio (TTM, GAAP)",9.87
Prev Close,53.43
Shares Outstanding,128.8M
Short Interest,0.0475
Today's Open,53.26
Volume,599925.0
Volume 10-day Avg,1781708.0
Volume Past Day,(Light)
