,QUOT
Price/Earnings (TTM),
Price/Sales (TTM),0.83312
Price/Book (MRQ),1.75371
Price/Cash Flow (TTM),
5yr Low,1.68
5yr High,17.93
5yr Avg Return,-0.17701666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.1363794
Dividend Growth 5yr,
Short Int Current Month,1440017.0
Short Int Prev Month,1766240.0
Short Int Pct of Float,0.0164373
Days to Cover,0.79129
Float,87.6633
Shares Outstanding,96.69955
Institutions Holding Shares,171.0
% Held by Institutions,0.715222
FCF Growth 5yr,-1.1781869925444914
