,QUOT
% Above Low,0.8065000000000001
% Held by Institutions,0.7152
52-Wk Range,['1.68 - 7.92']
Annual Dividend $,
Annual Dividend %,
Ask,3.04
Ask Size,1100.0
B/A Ratio,2.272727272727273
B/A Size,2500x1100
Beta,1.0
Bid,3.03
Bid Size,2500.0
Day Change $,-0.105
Day Change %,-0.0334
Day High,3.18
Day Low,3.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.88
Ex-dividend Date,No dividend
Historical Volatility,0.718
Last (size),200.0
Last (time),12:12p ET 11/28/22
Market Cap,294.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.14
Price,3.04
Shares Outstanding,96.7M
Short Interest,0.016399999999999998
Today's Open,3.15
Volume Past Day,(Light)
