,TTEK
% Above Low,0.2868
% Held by Institutions,0.9162
52-Wk Range,['118.55 - 191.15']
Annual Dividend $,0.92
Annual Dividend %,0.006
Ask,153.29
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.9
Bid,152.2
Bid Size,600.0
Closing Price,152.55
Day Change $,-1.81
Day Change %,-0.011699999999999999
Day High,155.55
Day Low,152.08
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",4.86
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.391
Last (size),10.0
Last (time),3:59p ET 11/28/22
Market Cap,8.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.75
Prev Close,154.36
Shares Outstanding,53.0M
Short Interest,0.0167
Today's Open,153.38
Volume,408666.0
Volume 10-day Avg,311473.0
Volume Past Day,(Heavy Day)
