,TTEK
Price/Earnings (TTM),31.74557
Price/Sales (TTM),2.88412
Price/Book (MRQ),6.91255
Price/Cash Flow (TTM),28.16884
5yr Low,44.65
5yr High,192.91
5yr Avg Return,0.23671666666666671
EPS Growth 5yr,0.1900456
Revenue Growth 5yr,0.0687048
Dividend Growth 5yr,
Short Int Current Month,875892.0
Short Int Prev Month,927720.0
Short Int Pct of Float,0.016715400000000002
Days to Cover,2.724
Float,52.63042
Shares Outstanding,52.981
Institutions Holding Shares,575.0
% Held by Institutions,0.916238
FCF Growth 5yr,0.6327887442184794
