,DTC
% Above Low,0.20809999999999998
% Held by Institutions,1.1784000000000001
52-Wk Range,['3.50 - 18.34']
Annual Dividend $,
Annual Dividend %,
Ask,4.5
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,4.2
Bid Size,300.0
Closing Price,4.23
Day Change $,0.02
Day Change %,0.0048
Day High,4.39
Day Low,4.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.6
Ex-dividend Date,No dividend
Historical Volatility,0.805
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,269.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.21
Shares Outstanding,63.6M
Short Interest,0.1797
Today's Open,4.27
Volume,54430.0
Volume 10-day Avg,178081.0
Volume Past Day,(Light)
