,DTC
Price/Earnings (TTM),
Price/Sales (TTM),0.81478
Price/Book (MRQ),1.14493
Price/Cash Flow (TTM),46.32378
5yr Low,3.5
5yr High,23.39
5yr Avg Return,-0.5147499999999999
Short Int Current Month,1361008.0
Short Int Prev Month,1359773.0
Short Int Pct of Float,0.1797034
Days to Cover,5.41753
Float,63.35737
Shares Outstanding,95.70296
Institutions Holding Shares,91.0
% Held by Institutions,1.178437
FCF Growth 5yr,0.5019797400639526
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
