,DTC
Next Earnings Announcement,2023-03-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.20253164556962033
Growth 2yr High Est,-0.07766990291262144
Growth 2yr Consensus Est,-0.14010077424112088
Growth 5yr Low Est,-0.20253164556962033
Growth 5yr High Est,-0.07766990291262144
Growth 5yr Consensus Est,-0.14010077424112088
Growth 5yr Actual/Est,-0.2514431239388795
Growth 3yr Historic,0.0
