,CENX
% Above Low,0.6015
% Held by Institutions,0.5554
52-Wk Range,['5.27 - 30.36']
Annual Dividend $,
Annual Dividend %,
Ask,8.53
Ask Size,5000.0
B/A Ratio,0.38
B/A Size,1900x5000
Beta,2.7
Bid,8.45
Bid Size,1900.0
Closing Price,8.44
Day Change $,-0.29
Day Change %,-0.0332
Day High,8.91
Day Low,8.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.63
Ex-dividend Date,No dividend
Historical Volatility,0.895
Last (size),40.0
Last (time),12:59p ET 11/25/22
Market Cap,769.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.19
Prev Close,8.73
Shares Outstanding,91.3M
Short Interest,0.1202
Today's Open,8.81
Volume,619087.0
Volume 10-day Avg,2249149.0
Volume Past Day,(Light)
