,CENX
Price/Earnings (TTM),5.19215
Price/Sales (TTM),0.26526
Price/Book (MRQ),1.49239
Price/Cash Flow (TTM),3.24483
5yr Low,2.91
5yr High,30.36
5yr Avg Return,0.04326666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1089734
Dividend Growth 5yr,
Short Int Current Month,6173757.0
Short Int Prev Month,6910231.0
Short Int Pct of Float,0.12019740000000001
Days to Cover,2.29892
Float,51.39647
Shares Outstanding,91.34723
Institutions Holding Shares,236.0
% Held by Institutions,0.555413
FCF Growth 5yr,-0.7924362644367632
