,CENX
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-18.0
Growth 2yr High Est,-26.0
Growth 2yr Consensus Est,-22.0
Growth 5yr Low Est,-18.0
Growth 5yr High Est,-26.0
Growth 5yr Consensus Est,-22.0
Growth 5yr Actual/Est,-5.876661152467604
Growth 3yr Historic,-0.15085470085470087
