,ENS
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.05909090909090908
Growth 1yr High Est,0.09029345372460496
Growth 1yr Consensus Est,0.07469218140775702
Growth 2yr Low Est,0.13576863051111976
Growth 2yr High Est,0.20663741009211611
Growth 2yr Consensus Est,0.17120302030161794
Growth 5yr Low Est,0.05534182089726103
Growth 5yr High Est,0.08138857904376709
Growth 5yr Consensus Est,0.06836519997051406
Growth 5yr Actual/Est,0.06683611981123894
Growth 3yr Historic,-0.0112631583956751
