,AFMD
% Above Low,0.4929
% Held by Institutions,0.6501
52-Wk Range,['1.40 - 7.13']
Annual Dividend $,
Annual Dividend %,
Ask,2.24
Ask Size,4000.0
B/A Ratio,0.1
B/A Size,400x4000
Beta,2.2
Bid,2.09
Bid Size,400.0
Closing Price,2.09
Day Change $,-0.02
Day Change %,-0.0095
Day High,2.15
Day Low,2.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.7690000000000001
Last (size),92.0
Last (time),1:00p ET 11/25/22
Market Cap,312.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.11
Shares Outstanding,149.3M
Short Interest,0.0277
Today's Open,2.09
Volume,531174.0
Volume 10-day Avg,2004516.0
Volume Past Day,(Light)
