,CRM
% Above Low,0.1272
% Held by Institutions,0.7687999999999999
52-Wk Range,['136.04 - 299.27']
Annual Dividend $,
Annual Dividend %,
Ask,153.99
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,1.1
Bid,145.0
Bid Size,1000.0
Closing Price,153.35
Day Change $,1.11
Day Change %,0.0073
Day High,154.04
Day Low,151.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.54
Ex-dividend Date,No dividend
Historical Volatility,0.47700000000000004
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,153.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",286.64
Prev Close,152.24
Shares Outstanding,1.0B
Short Interest,0.0097
Today's Open,152.07
Volume,3023746.0
Volume 10-day Avg,6894669.0
Volume Past Day,(Light)
