,CRM
Price/Earnings (TTM),286.6355
Price/Sales (TTM),5.23022
Price/Book (MRQ),2.54911
Price/Cash Flow (TTM),36.14188
5yr Low,98.68
5yr High,311.75
5yr Avg Return,0.1024
EPS Growth 5yr,0.2629341
Revenue Growth 5yr,0.2571449
Dividend Growth 5yr,
Short Int Current Month,9404711.0
Short Int Prev Month,10420177.0
Short Int Pct of Float,0.0097219
Days to Cover,1.21737
Float,967.5135
Shares Outstanding,1000.0
Institutions Holding Shares,2830.0
% Held by Institutions,0.7688429999999999
FCF Growth 5yr,0.07425052962546445
