,WHR
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.2952380952380952
Growth 1yr High Est,-0.25420560747663556
Growth 1yr Consensus Est,-0.2747218513573654
Growth 2yr Low Est,-0.3070785070785071
Growth 2yr High Est,-0.034370974164383006
Growth 2yr Consensus Est,-0.17072474062144505
Growth 5yr Low Est,0.009479179640469987
Growth 5yr High Est,0.14262030264817846
Growth 5yr Consensus Est,0.07604974114432422
Growth 5yr Actual/Est,0.052947832575494624
Growth 3yr Historic,0.14819954514824796
