,WHR
Price/Earnings (TTM),25.26729
Price/Sales (TTM),0.39313
Price/Book (MRQ),1.92283
Price/Cash Flow (TTM),9.50146
5yr Low,64.0
5yr High,257.68
5yr Avg Return,0.026950000000000016
EPS Growth 5yr,0.1957939
Revenue Growth 5yr,0.0119422
Dividend Growth 5yr,0.0692183
Short Int Current Month,5432430.0
Short Int Prev Month,5390844.0
Short Int Pct of Float,0.1005993
Days to Cover,6.44977
Float,54.00715
Shares Outstanding,54.47835
Institutions Holding Shares,898.0
% Held by Institutions,0.941438
FCF Growth 5yr,-0.6915565808812065
