,RBC
% Below High,0.08839999999999999
% Held by Institutions,1.0572
52-Wk Range,['152.90 - 264.94']
Annual Dividend $,
Annual Dividend %,
Ask,241.79
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,241.22
Bid Size,100.0
Day Change $,-4.31
Day Change %,-0.0175
Day High,245.66
Day Low,241.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.12
Ex-dividend Date,No dividend
Historical Volatility,0.369
Last (size),18.0
Last (time),12:18p ET 11/28/22
Market Cap,7.0B
"P/E Ratio (TTM, GAAP)",78.89
Prev Close,245.82
Price,241.51
Shares Outstanding,29.0M
Short Interest,0.0383
Today's Open,244.6
Volume Past Day,(Light)
