,VICR
Price/Earnings (TTM),92.60306
Price/Sales (TTM),6.2045
Price/Book (MRQ),5.26183
Price/Cash Flow (TTM),60.06063
5yr Low,16.3
5yr High,164.76
5yr Avg Return,0.2867666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.1240339
Dividend Growth 5yr,
Short Int Current Month,1251941.0
Short Int Prev Month,1430645.0
Short Int Pct of Float,0.055920500000000005
Days to Cover,4.23669
Float,22.39081
Shares Outstanding,44.04853
Institutions Holding Shares,263.0
% Held by Institutions,0.569037
FCF Growth 5yr,-1.0528317539730496
