,VICR
% Above Low,0.19510000000000002
% Held by Institutions,0.569
52-Wk Range,['42.90 - 152.00']
Annual Dividend $,
Annual Dividend %,
Ask,51.67
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,50.98
Bid Size,200.0
Closing Price,51.27
Day Change $,-2.8
Day Change %,-0.0518
Day High,54.86
Day Low,51.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.58
Ex-dividend Date,No dividend
Historical Volatility,0.741
Last (size),15.0
Last (time),3:59p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",92.6
Prev Close,54.07
Shares Outstanding,44.0M
Short Interest,0.0559
Today's Open,53.2
Volume,240315.0
Volume 10-day Avg,198948.0
Volume Past Day,(Heavy Day)
