,TNGX
% Above Low,1.2075
% Held by Institutions,0.7744
52-Wk Range,['3.18 - 11.73']
Annual Dividend $,
Annual Dividend %,
Ask,7.03
Ask Size,600.0
Ask close,8.7
B/A Ratio,4.166666666666667
B/A Size,2500x600
Beta,
Bid,6.99
Bid Size,2500.0
Bid close,5.48
Change Since Close,0.00| |(0.00%)
Closing Price,7.02
Day Change $,-0.43
Day Change %,-0.057699999999999994
Day High,7.65
Day Low,6.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.15
Ex-dividend Date,No dividend
Historical Volatility,0.798
Last (size),2.0
Last (time),3:59p ET 11/28/22
Last Trade,7.02
Market Cap,616.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.45
Shares Outstanding,88.2M
Short Interest,0.0172
Today's Open,7.43
Volume,236126.0
Volume 10-day Avg,193952.0
Volume Past Day,(Heavy Day)
