,TNGX
Price/Earnings (TTM),
Price/Sales (TTM),27.18482
Price/Book (MRQ),2.40267
Price/Cash Flow (TTM),
5yr Low,3.18
5yr High,18.84
5yr Avg Return,-0.08183333333333331
Short Int Current Month,1287180.0
Short Int Prev Month,1248853.0
Short Int Pct of Float,0.0172159
Days to Cover,5.21628
Float,74.76712
Shares Outstanding,88.17735
Institutions Holding Shares,119.0
% Held by Institutions,0.7743760000000001
FCF Growth 5yr,0.31044163077186465
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
