,FIS
% Above Low,0.1672
% Held by Institutions,0.9148000000000001
52-Wk Range,['56.53 - 122.06']
Annual Dividend $,1.88
Annual Dividend %,0.0285
Ask,66.65
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,62.6
Bid Size,100.0
Closing Price,65.98
Day Change $,0.05
Day Change %,0.0008
Day High,66.18
Day Low,65.29
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",1.53
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.48100000000000004
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,39.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",43.06
Prev Close,65.93
Shares Outstanding,593.4M
Short Interest,0.0125
Today's Open,65.99
Volume,2400022.0
Volume 10-day Avg,7587787.0
Volume Past Day,(Light)
