,FIS
Price/Earnings (TTM),43.06283
Price/Sales (TTM),2.7025
Price/Book (MRQ),0.87046
Price/Cash Flow (TTM),7.99004
5yr Low,56.53
5yr High,158.21
5yr Avg Return,-0.020783333333333327
EPS Growth 5yr,-0.15812879999999999
Revenue Growth 5yr,0.0946043
Dividend Growth 5yr,0.07885239999999999
Short Int Current Month,7330303.0
Short Int Prev Month,6886648.0
Short Int Pct of Float,0.0124695
Days to Cover,0.68281
Float,587.9711
Shares Outstanding,593.3795
Institutions Holding Shares,1383.0
% Held by Institutions,0.914806
FCF Growth 5yr,0.3391794382789403
