,EGLE
Price/Earnings (TTM),2.79021
Price/Sales (TTM),0.96532
Price/Book (MRQ),0.84351
Price/Cash Flow (TTM),1.95539
5yr Low,8.89
5yr High,78.75
5yr Avg Return,0.1928166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.36712110000000003
Dividend Growth 5yr,
Short Int Current Month,1664479.0
Short Int Prev Month,1670479.0
Short Int Pct of Float,0.1305354
Days to Cover,5.25206
Float,12.74363
Shares Outstanding,13.68097
Institutions Holding Shares,188.0
% Held by Institutions,0.841908
FCF Growth 5yr,0.9170906715980168
