,EGLE
% Above Low,0.4343
% Held by Institutions,0.8419
52-Wk Range,['37.05 - 78.75']
Annual Dividend $,7.2
Annual Dividend %,0.1355
Ask,53.6
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,53.0
Bid Size,200.0
Closing Price,53.14
Day Change $,1.22
Day Change %,0.0235
Day High,54.85
Day Low,52.01
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",19.05
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.613
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,726.7M
"P/E Ratio (TTM, GAAP)",2.79
Prev Close,51.92
Shares Outstanding,13.7M
Short Interest,0.1305
Today's Open,52.2
Volume,194894.0
Volume 10-day Avg,265481.0
Volume Past Day,(Light)
