,CNC
% Below High,0.1387
% Held by Institutions,0.9654
52-Wk Range,['69.51 - 98.53']
Annual Dividend $,
Annual Dividend %,
Ask,98.25
Ask Size,500.0
B/A Ratio,1.4
B/A Size,700x500
Beta,0.6
Bid,84.86
Bid Size,700.0
Closing Price,84.86
Day Change $,1.23
Day Change %,0.0147
Day High,85.19
Day Low,83.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.43
Ex-dividend Date,No dividend
Historical Volatility,0.33
Last (size),3900.0
Last (time),5:00p ET 11/25/22
Market Cap,48.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.77
Prev Close,83.63
Shares Outstanding,566.3M
Short Interest,0.0131
Today's Open,83.8
Volume,1511429.0
Volume 10-day Avg,3561344.0
Volume Past Day,(Light)
