,CNC
Price/Earnings (TTM),24.76746
Price/Sales (TTM),0.33947
Price/Book (MRQ),1.90629
Price/Cash Flow (TTM),13.46017
5yr Low,41.62
5yr High,98.53
5yr Avg Return,0.10155000000000002
EPS Growth 5yr,0.060002599999999996
Revenue Growth 5yr,0.254127
Dividend Growth 5yr,
Short Int Current Month,7369567.0
Short Int Prev Month,6654924.0
Short Int Pct of Float,0.013086500000000001
Days to Cover,1.97446
Float,563.2136
Shares Outstanding,566.2597
Institutions Holding Shares,1216.0
% Held by Institutions,0.9653879999999999
FCF Growth 5yr,1.1434471366056485
