,PCT
% Above Low,0.3381
% Held by Institutions,0.5929
52-Wk Range,['4.94 - 12.92']
Annual Dividend $,
Annual Dividend %,
Ask,6.64
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,6.6
Bid Size,100.0
Day Change $,-0.27
Day Change %,-0.0392
Day High,6.71
Day Low,6.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.65
Ex-dividend Date,No dividend
Historical Volatility,0.821
Last (size),6.0
Last (time),10:18a ET 11/28/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,6.88
Price,6.61
Shares Outstanding,163.5M
Short Interest,0.18899999999999997
Today's Open,6.71
Volume Past Day,(Light)
