,PCT
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.16945
Price/Cash Flow (TTM),
5yr Low,4.94
5yr High,35.75
5yr Avg Return,-0.05109999999999999
Short Int Current Month,20109179.0
Short Int Prev Month,18495723.0
Short Int Pct of Float,0.18901289999999998
Days to Cover,14.95679
Float,109.0186
Shares Outstanding,163.5065
Institutions Holding Shares,195.0
% Held by Institutions,0.592875
FCF Growth 5yr,0.4413599206091627
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
