,LSTR
Price/Earnings (TTM),14.23534
Price/Sales (TTM),0.80485
Price/Book (MRQ),7.10628
Price/Cash Flow (TTM),12.2476
5yr Low,85.3
5yr High,188.63
5yr Avg Return,0.10446666666666667
EPS Growth 5yr,0.2513617
Revenue Growth 5yr,0.1559339
Dividend Growth 5yr,0.2202864
Short Int Current Month,2326712.0
Short Int Prev Month,2392123.0
Short Int Pct of Float,0.0653757
Days to Cover,7.04307
Float,35.58984
Shares Outstanding,35.92527
Institutions Holding Shares,525.0
% Held by Institutions,1.035526
FCF Growth 5yr,0.5425160361012605
