,LSTR
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.21875
Growth 1yr High Est,0.19052419354838723
Growth 1yr Consensus Est,0.20463709677419362
Growth 2yr Low Est,-0.04874465811965811
Growth 2yr High Est,0.005931021414329052
Growth 2yr Consensus Est,-0.02140681835266453
Growth 5yr Low Est,0.13588408119658119
Growth 5yr High Est,0.17330449375801196
Growth 5yr Consensus Est,0.1545942874772966
Growth 5yr Actual/Est,0.18991658384214632
Growth 3yr Historic,0.20285090618266424
