,LSTR
% Below High,0.051
% Held by Institutions,1.0354999999999999
52-Wk Range,['137.15 - 182.00']
Annual Dividend $,1.2
Annual Dividend %,0.0069
Ask,
Ask Size,
Ask close,183.22
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Bid close,161.46
Change Since Close,-5.16| |(-2.99%)
Closing Price,172.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",12.13
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.315
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,167.56
Market Cap,6.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.24
Prev Close,172.72
Shares Outstanding,35.9M
Short Interest,0.0654
Today's Open,
Volume,1.0
Volume 10-day Avg,324696.0
Volume Past Day,(Light)
