,CHH
Price/Earnings (TTM),19.73485
Price/Sales (TTM),4.84624
Price/Book (MRQ),22.76362
Price/Cash Flow (TTM),17.46982
5yr Low,46.25
5yr High,157.46
5yr Avg Return,0.10621666666666668
EPS Growth 5yr,0.2224105
Revenue Growth 5yr,0.057662899999999996
Dividend Growth 5yr,0.027144400000000003
Short Int Current Month,1775663.0
Short Int Prev Month,1833493.0
Short Int Pct of Float,0.0603061
Days to Cover,3.26193
Float,29.59467
Shares Outstanding,53.2992
Institutions Holding Shares,412.0
% Held by Institutions,0.60954
FCF Growth 5yr,0.6392581860849191
