,CHH
% Above Low,0.1564
% Held by Institutions,0.6095
52-Wk Range,['104.15 - 157.46']
Annual Dividend $,0.95
Annual Dividend %,0.0079
Ask,130.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,50.01
Bid Size,100.0
Closing Price,120.44
Day Change $,0.53
Day Change %,0.0044
Day High,122.25
Day Low,120.19
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",6.1
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.34700000000000003
Last (size),334.0
Last (time),5:00p ET 11/25/22
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.73
Prev Close,119.91
Shares Outstanding,53.3M
Short Interest,0.0603
Today's Open,120.61
Volume,160214.0
Volume 10-day Avg,345602.0
Volume Past Day,(Light)
