,CHH
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.2595419847328244
Growth 1yr High Est,0.2529002320185616
Growth 1yr Consensus Est,0.256221108375693
Growth 2yr Low Est,0.18835685095227084
Growth 2yr High Est,0.20885752341668817
Growth 2yr Consensus Est,0.1986071871844795
Growth 5yr Low Est,0.20419327108183616
Growth 5yr High Est,0.19585449283995757
Growth 5yr Consensus Est,0.20002388196089688
Growth 5yr Actual/Est,0.19771154146154143
Growth 3yr Historic,0.1115803303303303
