,IIIV
Price/Earnings (TTM),
Price/Sales (TTM),2.60469
Price/Book (MRQ),3.78981
Price/Cash Flow (TTM),132.8944
5yr Low,13.01
5yr High,37.85
5yr Avg Return,0.09046
EPS Growth 5yr,
Revenue Growth 5yr,0.0389589
Dividend Growth 5yr,
Short Int Current Month,1020374.0
Short Int Prev Month,1061398.0
Short Int Pct of Float,0.0448361
Days to Cover,6.87806
Float,22.75889
Shares Outstanding,33.11729
Institutions Holding Shares,187.0
% Held by Institutions,0.91861
FCF Growth 5yr,0.20082849401471345
