,IIIV
% Below High,0.17379999999999998
% Held by Institutions,0.9186
52-Wk Range,['17.80 - 30.26']
Annual Dividend $,
Annual Dividend %,
Ask,29.0
Ask Size,300.0
B/A Ratio,3.0
B/A Size,900x300
Beta,1.3
Bid,21.66
Bid Size,900.0
Closing Price,25.0
Day Change $,-0.08
Day Change %,-0.0032
Day High,25.69
Day Low,25.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.77
Ex-dividend Date,No dividend
Historical Volatility,0.533
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,574.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,25.08
Shares Outstanding,23.0M
Short Interest,0.044800000000000006
Today's Open,25.2
Volume,95660.0
Volume 10-day Avg,175593.0
Volume Past Day,(Light)
