,CWH
Price/Earnings (TTM),6.13829
Price/Sales (TTM),0.33041
Price/Book (MRQ),11.23493
Price/Cash Flow (TTM),4.27498
5yr Low,3.4
5yr High,49.2
5yr Avg Return,0.08788333333333334
EPS Growth 5yr,0.2135154
Revenue Growth 5yr,0.1447889
Dividend Growth 5yr,0.7923976
Short Int Current Month,8224839.0
Short Int Prev Month,7861487.0
Short Int Pct of Float,0.2131613
Days to Cover,7.23049
Float,38.56267
Shares Outstanding,83.59919
Institutions Holding Shares,292.0
% Held by Institutions,0.737953
FCF Growth 5yr,-2.661703155961529
