,CWH
% Above Low,0.33909999999999996
% Held by Institutions,0.738
52-Wk Range,['20.85 - 46.77']
Annual Dividend $,2.5
Annual Dividend %,0.0895
Ask,28.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.6
Bid,25.0
Bid Size,100.0
Closing Price,27.92
Day Change $,-0.13
Day Change %,-0.0046
Day High,28.41
Day Low,27.9
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",4.55
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.523
Last (size),600.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.14
Prev Close,28.05
Shares Outstanding,42.1M
Short Interest,0.2132
Today's Open,28.04
Volume,174553.0
Volume 10-day Avg,798607.0
Volume Past Day,(Light)
