,ESTC
Price/Earnings (TTM),
Price/Sales (TTM),6.08935
Price/Book (MRQ),14.20385
Price/Cash Flow (TTM),
5yr Low,39.01
5yr High,189.84
5yr Avg Return,0.10307999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.5778585
Dividend Growth 5yr,
Short Int Current Month,5208854.0
Short Int Prev Month,5134695.0
Short Int Pct of Float,0.068383
Days to Cover,2.98141
Float,77.51556
Shares Outstanding,95.07989
Institutions Holding Shares,451.0
% Held by Institutions,0.7596599999999999
FCF Growth 5yr,3.5833333333333335
