,ESTC
% Above Low,0.1699
% Held by Institutions,0.7597
52-Wk Range,['50.33 - 162.46']
Annual Dividend $,
Annual Dividend %,
Ask,75.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,51.03
Bid Size,100.0
Closing Price,58.88
Day Change $,-0.72
Day Change %,-0.0121
Day High,59.5
Day Low,58.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.55
Ex-dividend Date,No dividend
Historical Volatility,0.7709999999999999
Last (size),950.0
Last (time),5:00p ET 11/25/22
Market Cap,5.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,59.6
Shares Outstanding,95.1M
Short Interest,0.0684
Today's Open,59.32
Volume,366889.0
Volume 10-day Avg,1191785.0
Volume Past Day,(Light)
