,SHW
Price/Earnings (TTM),33.7566
Price/Sales (TTM),2.98247
Price/Book (MRQ),24.88669
Price/Cash Flow (TTM),25.76154
5yr Low,108.48
5yr High,354.15
5yr Avg Return,0.1478833333333333
EPS Growth 5yr,0.1180221
Revenue Growth 5yr,0.1096355
Dividend Growth 5yr,0.1445683
Short Int Current Month,1685268.0
Short Int Prev Month,1780486.0
Short Int Pct of Float,0.007107400000000001
Days to Cover,0.915
Float,237.2083
Shares Outstanding,259.1434
Institutions Holding Shares,1652.0
% Held by Institutions,0.768647
FCF Growth 5yr,-1.981399124963217
