,SHW
% Above Low,0.2605
% Held by Institutions,0.7686
52-Wk Range,['195.24 - 354.15']
Annual Dividend $,2.4
Annual Dividend %,0.0096
Ask,246.18
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,246.05
Bid Size,100.0
Day Change $,-3.42
Day Change %,-0.0137
Day High,249.8
Day Low,245.71
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",7.39
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.35100000000000003
Last (size),100.0
Last (time),2:15p ET 11/28/22
Market Cap,63.8B
"P/E Ratio (TTM, GAAP)",33.76
Prev Close,249.52
Price,246.11
Shares Outstanding,259.1M
Short Interest,0.0070999999999999995
Today's Open,247.37
Volume Past Day,(Light)
