,SNV
Price/Earnings (TTM),8.77997
Price/Sales (TTM),2.96862
Price/Book (MRQ),1.69762
Price/Cash Flow (TTM),7.77199
5yr Low,10.91
5yr High,57.4
5yr Avg Return,0.003266666666666665
EPS Growth 5yr,0.2096332
Revenue Growth 5yr,0.1008146
Dividend Growth 5yr,0.2242399
Short Int Current Month,3628724.0
Short Int Prev Month,3867880.0
Short Int Pct of Float,0.0253215
Days to Cover,3.50981
Float,143.4669
Shares Outstanding,145.4579
Institutions Holding Shares,524.0
% Held by Institutions,0.8084910000000001
FCF Growth 5yr,0.4351221129837704
