,SNV
% Above Low,0.2134
% Held by Institutions,0.8085
52-Wk Range,['34.15 - 54.40']
Annual Dividend $,1.36
Annual Dividend %,0.0316
Ask,41.45
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,41.43
Bid Size,200.0
Day Change $,-1.67
Day Change %,-0.0387
Day High,42.55
Day Low,41.43
Dividend Pay Date,2022-10-03 00:00:00
"EPS (TTM, GAAP)",4.91
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.399
Last (size),100.0
Last (time),2:50p ET 11/28/22
Market Cap,6.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.78
Prev Close,43.1
Price,41.43
Shares Outstanding,145.5M
Short Interest,0.0253
Today's Open,42.5
Volume Past Day,(Light)
