,AMR
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4654096063192763
Growth 2yr High Est,-0.40645601273016596
Growth 2yr Consensus Est,-0.43593280952472113
Growth 5yr Low Est,-0.4654096063192763
Growth 5yr High Est,-0.40645601273016596
Growth 5yr Consensus Est,-0.43593280952472113
Growth 5yr Actual/Est,1.0037608013964205
Growth 3yr Historic,-0.0021832284660447954
