,AMR
% Below High,0.0946
% Held by Institutions,0.7397
52-Wk Range,['43.00 - 186.98']
Annual Dividend $,1.67
Annual Dividend %,0.009899999999999999
Ask,170.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,161.0
Bid Size,100.0
Closing Price,169.3
Day Change $,3.98
Day Change %,0.0241
Day High,170.0
Day Low,166.25
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",78.07
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.7340000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",2.17
Prev Close,165.32
Shares Outstanding,15.9M
Short Interest,0.060899999999999996
Today's Open,166.25
Volume,87364.0
Volume 10-day Avg,265897.0
Volume Past Day,(Light)
