,AMR
Price/Earnings (TTM),2.16857
Price/Sales (TTM),0.65734
Price/Book (MRQ),2.01185
Price/Cash Flow (TTM),1.67019
5yr Low,1.93
5yr High,186.98
5yr Avg Return,0.9387166666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.117263
Dividend Growth 5yr,
Short Int Current Month,806970.0
Short Int Prev Month,933094.0
Short Int Pct of Float,0.0608701
Days to Cover,2.23046
Float,13.26896
Shares Outstanding,15.94365
Institutions Holding Shares,253.0
% Held by Institutions,0.739701
FCF Growth 5yr,1.4527764150002211
