,BILL
Price/Earnings (TTM),
Price/Sales (TTM),17.03431
Price/Book (MRQ),3.17014
Price/Cash Flow (TTM),
5yr Low,23.61
5yr High,348.5
5yr Avg Return,0.72095
Short Int Current Month,6585548.0
Short Int Prev Month,5564374.0
Short Int Pct of Float,0.0658176
Days to Cover,1.9614
Float,101.3581
Shares Outstanding,105.6716
Institutions Holding Shares,665.0
% Held by Institutions,0.965998
FCF Growth 5yr,-0.36668428603790687
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
