,BILL
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-4.357142857142857
Growth 1yr High Est,-8.181818181818183
Growth 1yr Consensus Est,-6.2694805194805205
Growth 2yr Low Est,-2.1892097264437687
Growth 2yr High Est,-3.5972382048331424
Growth 2yr Consensus Est,-2.8932239656384553
Growth 5yr Low Est,-1.4594731509625125
Growth 5yr High Est,-2.398158803222095
Growth 5yr Consensus Est,-1.928815977092304
Growth 5yr Actual/Est,-0.5532443240454076
Growth 3yr Historic,0.1764705882352941
