,BILL
% Above Low,0.35159999999999997
% Held by Institutions,0.966
52-Wk Range,['89.87 - 308.20']
Annual Dividend $,
Annual Dividend %,
Ask,133.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,119.02
Bid Size,100.0
Closing Price,121.47
Day Change $,0.0
Day Change %,0.0
Day High,121.76
Day Low,118.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.21
Ex-dividend Date,No dividend
Historical Volatility,0.9440000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,12.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,121.47
Shares Outstanding,105.7M
Short Interest,0.0658
Today's Open,120.37
Volume,372534.0
Volume 10-day Avg,2006664.0
Volume Past Day,(Light)
