,PRI
Price/Earnings (TTM),20.23374
Price/Sales (TTM),1.95294
Price/Book (MRQ),3.33477
Price/Cash Flow (TTM),17.56895
5yr Low,61.2
5yr High,179.51
5yr Avg Return,0.0688
EPS Growth 5yr,0.1538355
Revenue Growth 5yr,0.1222086
Dividend Growth 5yr,0.2184619
Short Int Current Month,366068.0
Short Int Prev Month,456294.0
Short Int Pct of Float,0.0099875
Days to Cover,2.71733
Float,36.64747
Shares Outstanding,36.89817
Institutions Holding Shares,392.0
% Held by Institutions,0.9269719999999999
FCF Growth 5yr,0.18213006542243368
