,PRI
% Below High,0.0855
% Held by Institutions,0.927
52-Wk Range,['110.22 - 159.47']
Annual Dividend $,2.2
Annual Dividend %,0.0151
Ask,145.84
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,145.57
Bid Size,200.0
Day Change $,-0.065
Day Change %,-0.0004
Day High,146.81
Day Low,145.05
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",7.21
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.326
Last (size),1.0
Last (time),11:29a ET 11/28/22
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.23
Prev Close,145.9
Price,145.84
Shares Outstanding,36.9M
Short Interest,0.01
Today's Open,145.35
Volume Past Day,(Light)
